Provider Number,Hospital 30-Day Death (Mortality) Rates from Pneumonia,Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Number of Patients - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Hospital 30-Day Readmission Rates from Pneumonia,Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Pneumonia,Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia,Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia,Number of Patients - Hospital 30-Day Readmission Rates from Pneumonia
10877,11.7,No Different than U.S. National Rate,8.2,16.1,25,Not Available,Number of Cases Too Small,Not Available,Not Available,23
10878,10.9,No Different than U.S. National Rate,8.7,13.7,310,21.7,No Different than U.S. National Rate,18.3,25.1,322
10879,9.7,No Different than U.S. National Rate,7.1,12.9,147,20.9,No Different than U.S. National Rate,17.5,24.9,162
10880,10.4,No Different than U.S. National Rate,7.5,14.2,131,17.8,No Different than U.S. National Rate,14.5,22,147
10881,10.3,No Different than U.S. National Rate,8,13.3,322,17.2,No Different than U.S. National Rate,14.4,20.4,333
10882,11.2,No Different than U.S. National Rate,8.9,14.1,295,16.7,No Different than U.S. National Rate,13.9,20,311
10883,12.6,No Different than U.S. National Rate,9,17.2,70,18.7,No Different than U.S. National Rate,14.8,23.3,78
10884,9.1,No Different than U.S. National Rate,6.8,12,226,21.3,No Different than U.S. National Rate,17.9,24.7,284
10885,13.2,No Different than U.S. National Rate,11.2,15.3,815,16.2,No Different than U.S. National Rate,14.1,18.6,838
10886,11.3,No Different than U.S. National Rate,8.4,15.1,152,19,No Different than U.S. National Rate,15.4,23.3,154
10887,12.1,No Different than U.S. National Rate,9.2,15.9,181,17,No Different than U.S. National Rate,14,20.6,200
10888,9.2,Better than U.S. National Rate,6.9,11.9,215,17.3,No Different than U.S. National Rate,14.2,20.8,210
10889,10.9,No Different than U.S. National Rate,8,14.6,121,19.2,No Different than U.S. National Rate,15.3,23.3,129
10890,12.7,No Different than U.S. National Rate,9.6,16.3,165,21.2,No Different than U.S. National Rate,17.5,25.2,165
10891,11.5,No Different than U.S. National Rate,9,14.9,244,18.7,No Different than U.S. National Rate,15.6,22.3,244
10892,Not Available,Number of Cases Too Small,Not Available,Not Available,19,Not Available,Number of Cases Too Small,Not Available,Not Available,19
10893,Not Available,Number of Cases Too Small,Not Available,Not Available,11,Not Available,Number of Cases Too Small,Not Available,Not Available,2
10894,Not Available,Number of Cases Too Small,Not Available,Not Available,6,Not Available,Number of Cases Too Small,Not Available,Not Available,6
10895,Not Available,Number of Cases Too Small,Not Available,Not Available,3,Not Available,Number of Cases Too Small,Not Available,Not Available,1
10896,10.9,No Different than U.S. National Rate,8.7,13.4,501,22.5,Worse than U.S. National Rate,19.6,25.4,559
10897,11.8,No Different than U.S. National Rate,8.8,15.9,138,18.5,No Different than U.S. National Rate,14.9,22.6,150
10898,9.3,No Different than U.S. National Rate,7.1,12,291,20.1,No Different than U.S. National Rate,16.9,23.6,329
10899,10.2,No Different than U.S. National Rate,6.8,14.7,30,17.2,No Different than U.S. National Rate,13.3,22,31
10900,14.7,No Different than U.S. National Rate,11.2,19.1,135,15.8,No Different than U.S. National Rate,12.7,19.9,135
10901,11.7,No Different than U.S. National Rate,8.5,15.9,76,18.2,No Different than U.S. National Rate,14.5,22.7,78
10902,Not Available,Number of Cases Too Small,Not Available,Not Available,16,Not Available,Number of Cases Too Small,Not Available,Not Available,15
10903,14.7,No Different than U.S. National Rate,11,19.2,139,20.3,No Different than U.S. National Rate,16.5,24.3,150
10904,12.9,No Different than U.S. National Rate,9.3,17.8,82,17.3,No Different than U.S. National Rate,13.7,21.8,78
10905,11.4,No Different than U.S. National Rate,7.8,16.4,53,18.5,No Different than U.S. National Rate,14.5,23.3,62
10906,11.5,No Different than U.S. National Rate,8.4,15.7,172,19.5,No Different than U.S. National Rate,16,23.5,179
10907,11.5,No Different than U.S. National Rate,8.1,16.1,54,17.6,No Different than U.S. National Rate,13.9,22.4,61
10908,10.6,No Different than U.S. National Rate,7.6,14.6,81,16.5,No Different than U.S. National Rate,12.9,21.1,90
10909,11.2,No Different than U.S. National Rate,9.1,13.5,552,18.6,No Different than U.S. National Rate,16.2,21.3,578
10910,17.5,Worse than U.S. National Rate,13.7,22.1,184,19.7,No Different than U.S. National Rate,16.1,24,189
10911,12.6,No Different than U.S. National Rate,10.2,15.5,353,18.6,No Different than U.S. National Rate,15.7,22,349
10912,11.5,No Different than U.S. National Rate,8.7,14.7,259,16.6,No Different than U.S. National Rate,13.8,20,278
10913,13.5,No Different than U.S. National Rate,11,16.4,451,19.3,No Different than U.S. National Rate,16.5,22.2,470
10914,13.6,No Different than U.S. National Rate,10.2,18.2,137,16,No Different than U.S. National Rate,12.9,20.1,156
10915,12,No Different than U.S. National Rate,9.7,14.7,384,17.5,No Different than U.S. National Rate,14.8,20.6,422
10916,11.6,No Different than U.S. National Rate,9.1,14.6,280,20.6,No Different than U.S. National Rate,17.2,24.4,277
10917,12,No Different than U.S. National Rate,9.3,15.1,226,18.5,No Different than U.S. National Rate,15.5,21.9,251
10918,12,No Different than U.S. National Rate,9.4,15.1,299,18.5,No Different than U.S. National Rate,15.4,21.9,317
10919,9.7,No Different than U.S. National Rate,6.8,13.6,95,19.4,No Different than U.S. National Rate,15.6,23.5,105
10920,12.7,No Different than U.S. National Rate,9.8,16.2,260,17,No Different than U.S. National Rate,14.1,20.6,272
10921,11.1,No Different than U.S. National Rate,8.6,14.3,271,19.2,No Different than U.S. National Rate,16,22.9,281
10922,10.3,No Different than U.S. National Rate,7.8,13.5,249,19.9,No Different than U.S. National Rate,16.6,23.7,262
10923,10.7,No Different than U.S. National Rate,8.6,13.3,359,19,No Different than U.S. National Rate,16,22.1,388
10924,14.5,No Different than U.S. National Rate,11.9,17.3,457,17.3,No Different than U.S. National Rate,14.8,20,463
10925,13.1,No Different than U.S. National Rate,10,17.1,163,21.3,No Different than U.S. National Rate,17.5,25.3,176
10926,14.4,No Different than U.S. National Rate,11.2,17.9,184,17.1,No Different than U.S. National Rate,14,20.8,194
10927,12.4,No Different than U.S. National Rate,10.5,14.4,681,19,No Different than U.S. National Rate,16.6,21.6,690
10928,12.5,No Different than U.S. National Rate,10.6,14.7,702,18.4,No Different than U.S. National Rate,16.2,21,759
10929,14.8,No Different than U.S. National Rate,12,17.9,315,18.7,No Different than U.S. National Rate,15.8,22.2,324
10930,10.9,No Different than U.S. National Rate,8.7,13.4,452,20.6,No Different than U.S. National Rate,17.6,23.6,471
10931,10.6,No Different than U.S. National Rate,8.3,13.3,344,17.1,No Different than U.S. National Rate,14.4,20.6,371
10932,15.5,Worse than U.S. National Rate,12.2,19.7,166,18.9,No Different than U.S. National Rate,15.4,22.7,183
10933,12.7,No Different than U.S. National Rate,11,14.6,979,20.7,No Different than U.S. National Rate,18.4,23,1016
10934,11.6,No Different than U.S. National Rate,8.9,15,205,16.8,No Different than U.S. National Rate,13.7,20.3,216
10935,12.9,No Different than U.S. National Rate,10.5,15.9,369,17.1,No Different than U.S. National Rate,14.1,20.5,367
10936,13.2,No Different than U.S. National Rate,9.8,17.4,172,19.3,No Different than U.S. National Rate,15.6,23.8,180
10937,11.5,No Different than U.S. National Rate,8.3,15.7,70,17.7,No Different than U.S. National Rate,14,22.4,76
10938,11.1,No Different than U.S. National Rate,8.3,14.6,208,15.8,No Different than U.S. National Rate,12.8,19.5,222
10939,11.2,No Different than U.S. National Rate,8.1,15.2,131,17.7,No Different than U.S. National Rate,14.1,21.9,145
10940,14.9,No Different than U.S. National Rate,11.9,18.6,319,17.5,No Different than U.S. National Rate,14.6,20.8,325
10941,12.6,No Different than U.S. National Rate,9.2,16.7,131,17.4,No Different than U.S. National Rate,14,21.6,134
10942,9.6,No Different than U.S. National Rate,6.7,13.6,104,18.6,No Different than U.S. National Rate,14.7,23.5,113
10943,12.1,No Different than U.S. National Rate,8.9,16.1,136,20.4,No Different than U.S. National Rate,16.3,25.3,127
