Provider Number,Hospital 30-Day Death (Mortality) Rates from Pneumonia,Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Number of Patients - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Hospital 30-Day Readmission Rates from Pneumonia,Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Pneumonia,Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia,Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia,Number of Patients - Hospital 30-Day Readmission Rates from Pneumonia
10001,10.9,No Different than U.S. National Rate,8.6,13.7,371,17.1,No Different than U.S. National Rate,14.4,20.4,400
10002,13.9,No Different than U.S. National Rate,11.3,17,372,17.6,No Different than U.S. National Rate,15,20.6,374
10003,13.4,No Different than U.S. National Rate,11.2,15.8,836,16.9,No Different than U.S. National Rate,14.7,19.5,842
10004,14.9,No Different than U.S. National Rate,11.6,19,239,19.4,No Different than U.S. National Rate,15.9,23.2,254
10005,15.8,No Different than U.S. National Rate,11.4,21.5,61,18,No Different than U.S. National Rate,14,22.8,56
10006,8.7,Better than U.S. National Rate,6.8,11,315,18.7,No Different than U.S. National Rate,15.7,22.2,326
10007,16.2,Worse than U.S. National Rate,13.4,19.6,441,17.7,No Different than U.S. National Rate,15.3,20.7,452
10008,15.8,Worse than U.S. National Rate,12.1,20.2,215,17.7,No Different than U.S. National Rate,14.4,21.8,210
10009,10.7,No Different than U.S. National Rate,8.2,13.6,318,16.9,No Different than U.S. National Rate,14.2,20.3,332
10010,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
10011,15,Worse than U.S. National Rate,12.1,18.5,324,19.3,No Different than U.S. National Rate,16.2,22.8,336
10012,9.9,No Different than U.S. National Rate,7.4,13.1,150,17.7,No Different than U.S. National Rate,14.5,21.4,183
10013,14.7,No Different than U.S. National Rate,10.8,20.1,116,17.1,No Different than U.S. National Rate,13.6,21.3,112
10014,14.3,No Different than U.S. National Rate,10.9,18.1,203,21.9,No Different than U.S. National Rate,18.1,25.9,214
10015,14.7,Worse than U.S. National Rate,12.3,17.5,354,20.2,No Different than U.S. National Rate,17.1,23.6,358
10016,10.3,No Different than U.S. National Rate,7.5,14.2,115,19.5,No Different than U.S. National Rate,15.7,23.9,113
10017,12,No Different than U.S. National Rate,8.5,16.2,89,17.2,No Different than U.S. National Rate,13.5,21.8,90
10018,12.1,No Different than U.S. National Rate,9.3,15.5,251,14.9,Better than U.S. National Rate,12.1,18.4,260
10019,13.9,No Different than U.S. National Rate,10.1,19.1,89,19.4,No Different than U.S. National Rate,15.7,23.6,105
10020,12.7,No Different than U.S. National Rate,10.1,15.9,316,20.6,No Different than U.S. National Rate,17.4,24,343
10021,11.6,No Different than U.S. National Rate,8.5,15.4,101,18.1,No Different than U.S. National Rate,14.3,22.4,111
10022,12.1,No Different than U.S. National Rate,9.8,14.8,415,17.1,No Different than U.S. National Rate,14.5,20.2,432
10023,11.1,No Different than U.S. National Rate,8.3,14.6,232,20.8,No Different than U.S. National Rate,17.1,24.8,253
10024,12,No Different than U.S. National Rate,9.1,15.6,228,18.1,No Different than U.S. National Rate,14.9,21.7,250
10025,14.1,Worse than U.S. National Rate,12.2,16.1,920,17.5,No Different than U.S. National Rate,15.5,19.8,936
10026,14.6,No Different than U.S. National Rate,11.9,17.9,424,19.5,No Different than U.S. National Rate,16.6,22.6,459
10027,11.2,No Different than U.S. National Rate,7.8,15.6,59,18.7,No Different than U.S. National Rate,14.9,23.1,78
10028,10,No Different than U.S. National Rate,7.2,13.7,222,19.4,No Different than U.S. National Rate,15.8,23.5,244
10029,12.9,No Different than U.S. National Rate,10,16.5,199,18.5,No Different than U.S. National Rate,15.1,22.2,203
10030,12.7,No Different than U.S. National Rate,10,16,376,20.1,No Different than U.S. National Rate,17.1,23.4,393
10031,11.3,No Different than U.S. National Rate,8.1,15.4,104,20.1,No Different than U.S. National Rate,16.3,24.9,120
10032,12.9,No Different than U.S. National Rate,9.8,16.9,182,20.2,No Different than U.S. National Rate,16.6,24.4,190
10033,15.3,No Different than U.S. National Rate,11.7,19.7,153,16.7,No Different than U.S. National Rate,13.6,20.5,174
10034,11.5,No Different than U.S. National Rate,7.9,16.6,38,19,No Different than U.S. National Rate,14.5,24.3,39
10035,10.8,No Different than U.S. National Rate,7.4,16,72,19.1,No Different than U.S. National Rate,15.4,23.6,83
10036,11.9,No Different than U.S. National Rate,9,15.6,214,20.2,No Different than U.S. National Rate,16.9,23.8,257
10037,11.3,No Different than U.S. National Rate,9,14,419,18.8,No Different than U.S. National Rate,15.8,22.1,434
10038,12.6,No Different than U.S. National Rate,10.2,15.2,524,19.5,No Different than U.S. National Rate,16.7,22.7,499
10039,13.6,No Different than U.S. National Rate,9.5,18.9,53,18.1,No Different than U.S. National Rate,14.3,23.1,51
10040,9.8,No Different than U.S. National Rate,7.2,13.3,161,21.4,No Different than U.S. National Rate,17.6,25.2,179
10041,12.9,No Different than U.S. National Rate,10.4,15.8,459,19.4,No Different than U.S. National Rate,16.7,22.5,489
10042,12.3,No Different than U.S. National Rate,9.4,16.1,211,18.9,No Different than U.S. National Rate,15.5,22.6,235
10043,14.9,No Different than U.S. National Rate,11.6,18.8,183,16.9,No Different than U.S. National Rate,13.8,20.7,207
10044,12.1,No Different than U.S. National Rate,8.6,17,111,17.7,No Different than U.S. National Rate,13.9,22.1,114
10045,15,No Different than U.S. National Rate,11.2,19.9,125,18.4,No Different than U.S. National Rate,14.6,22.8,125
10046,11.8,No Different than U.S. National Rate,8.5,15.8,125,17.9,No Different than U.S. National Rate,14.2,22.1,125
10047,13.2,No Different than U.S. National Rate,10.6,16.2,351,19.8,No Different than U.S. National Rate,16.9,23.1,368
10048,12.1,No Different than U.S. National Rate,9.3,15.7,202,18.3,No Different than U.S. National Rate,15.1,22,203
10049,9.8,No Different than U.S. National Rate,7.3,13,199,15,No Different than U.S. National Rate,12.1,18.6,218
10050,11.9,No Different than U.S. National Rate,9.5,14.8,354,20.2,No Different than U.S. National Rate,17.1,23.6,374
10051,13.1,No Different than U.S. National Rate,10.1,16.8,224,19.1,No Different than U.S. National Rate,15.7,23.2,229
10052,Not Available,Number of Cases Too Small,Not Available,Not Available,15,Not Available,Number of Cases Too Small,Not Available,Not Available,14
10053,11.9,No Different than U.S. National Rate,9.4,14.8,261,16.7,No Different than U.S. National Rate,13.9,20.1,285
10054,10.6,No Different than U.S. National Rate,8.5,13.1,451,17,No Different than U.S. National Rate,14.4,20.1,465
10055,12.1,No Different than U.S. National Rate,8.1,17.3,26,Not Available,Number of Cases Too Small,Not Available,Not Available,23
10056,11.3,No Different than U.S. National Rate,9.4,13.5,693,19.6,No Different than U.S. National Rate,17.1,22.2,726
10057,11.5,No Different than U.S. National Rate,7.9,16.5,36,18.1,No Different than U.S. National Rate,14,23,42
10058,11.2,No Different than U.S. National Rate,7.9,16,66,19.8,No Different than U.S. National Rate,15.5,24.6,67
10059,12.6,No Different than U.S. National Rate,9.2,17,153,19.3,No Different than U.S. National Rate,15.5,23.7,153
10060,13.1,No Different than U.S. National Rate,10.2,16.8,192,16.4,No Different than U.S. National Rate,13.4,20.4,197
10061,12.1,No Different than U.S. National Rate,8.8,16.6,96,18.1,No Different than U.S. National Rate,14.4,22.3,100
10062,11.4,No Different than U.S. National Rate,7.7,16.5,38,18.5,No Different than U.S. National Rate,14.4,23.8,45
10063,11.6,No Different than U.S. National Rate,9.3,14.5,292,17.5,No Different than U.S. National Rate,14.8,20.7,322
10064,13.9,No Different than U.S. National Rate,11,17.6,246,17.2,No Different than U.S. National Rate,14.3,20.6,264
10065,14.2,No Different than U.S. National Rate,10.9,18.3,211,20.5,No Different than U.S. National Rate,16.9,24.4,223
10066,12.4,No Different than U.S. National Rate,9.5,16,135,17.9,No Different than U.S. National Rate,14.5,22.1,139
10067,12.1,No Different than U.S. National Rate,8.5,16.8,26,Not Available,Number of Cases Too Small,Not Available,Not Available,24
10068,9.1,No Different than U.S. National Rate,6.3,13.3,113,18.3,No Different than U.S. National Rate,14.6,22.7,130
10069,12.5,No Different than U.S. National Rate,10.5,14.9,612,20.3,No Different than U.S. National Rate,17.5,22.9,681
10070,12.1,No Different than U.S. National Rate,9.5,15.6,197,20.3,No Different than U.S. National Rate,16.8,24.2,206
10071,14,No Different than U.S. National Rate,11.2,17,229,21.1,No Different than U.S. National Rate,17.6,24.9,238
10072,15.6,No Different than U.S. National Rate,11.7,20.2,167,17.2,No Different than U.S. National Rate,13.8,21.1,174
10073,10.7,No Different than U.S. National Rate,8.2,14,333,17.1,No Different than U.S. National Rate,14.4,20.6,353
10074,11.1,No Different than U.S. National Rate,8,15,121,22.3,No Different than U.S. National Rate,17.8,27,134
10075,9.3,No Different than U.S. National Rate,6.2,13.5,59,16.8,No Different than U.S. National Rate,13.1,21.5,66
10076,14.6,No Different than U.S. National Rate,10.9,19.1,82,18.4,No Different than U.S. National Rate,14.6,22.7,90
10077,11.4,No Different than U.S. National Rate,8.2,15.6,147,21,No Different than U.S. National Rate,17,25.4,162
10078,10.4,No Different than U.S. National Rate,8.1,13.5,306,18.7,No Different than U.S. National Rate,15.4,22.2,313
10079,Not Available,Number of Cases Too Small,Not Available,Not Available,5,Not Available,Number of Cases Too Small,Not Available,Not Available,7
10080,Not Available,Number of Cases Too Small,Not Available,Not Available,2,Not Available,Number of Cases Too Small,Not Available,Not Available,2
10081,13,No Different than U.S. National Rate,10.7,15.7,516,17.1,No Different than U.S. National Rate,14.7,20,520
10082,13.8,No Different than U.S. National Rate,10.1,17.9,193,18.9,No Different than U.S. National Rate,15.3,22.9,191
10083,19.2,Worse than U.S. National Rate,14.4,25.2,133,19.7,No Different than U.S. National Rate,15.7,24.5,130
10084,12,No Different than U.S. National Rate,8.3,17.1,64,19.6,No Different than U.S. National Rate,15.4,24.5,72
10085,10.2,No Different than U.S. National Rate,8,13.3,234,16.3,No Different than U.S. National Rate,13.3,19.8,252
10086,11,No Different than U.S. National Rate,7.9,15,140,17.5,No Different than U.S. National Rate,13.9,21.4,161
10087,13,No Different than U.S. National Rate,9.4,17.6,89,16.8,No Different than U.S. National Rate,13.4,21.1,88
10088,13.1,No Different than U.S. National Rate,9.2,17.9,54,19,No Different than U.S. National Rate,15,24,61
10089,12.8,No Different than U.S. National Rate,9.3,17.4,128,17.7,No Different than U.S. National Rate,14.3,22,143
10090,11.5,No Different than U.S. National Rate,8.6,15.3,211,21.8,No Different than U.S. National Rate,18,25.8,227
10091,11.4,No Different than U.S. National Rate,8.6,15,230,20.7,No Different than U.S. National Rate,17,24.9,240
10092,10.9,No Different than U.S. National Rate,7.4,15.8,63,17.8,No Different than U.S. National Rate,14.1,22.8,71
10093,13,No Different than U.S. National Rate,9.4,17.3,91,21.3,No Different than U.S. National Rate,17.1,25.8,101
10094,11.3,No Different than U.S. National Rate,8.1,15.6,119,17.4,No Different than U.S. National Rate,13.8,21.8,120
10095,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
10096,Not Available,Number of Cases Too Small,Not Available,Not Available,21,Not Available,Number of Cases Too Small,Not Available,Not Available,18
10097,11.6,No Different than U.S. National Rate,7.9,16.9,48,17.2,No Different than U.S. National Rate,13.2,22,56
10098,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
10099,10.5,No Different than U.S. National Rate,7.9,13.6,269,15.7,No Different than U.S. National Rate,12.9,19.1,301
10100,12.1,No Different than U.S. National Rate,9,16,193,18,No Different than U.S. National Rate,14.7,21.8,221
10101,11.6,No Different than U.S. National Rate,8.1,16.4,80,17.6,No Different than U.S. National Rate,13.7,22.4,77
10102,13.4,No Different than U.S. National Rate,9.8,17.9,105,17.7,No Different than U.S. National Rate,14.1,22,122
10103,12.5,No Different than U.S. National Rate,8.9,16.9,74,17.4,No Different than U.S. National Rate,13.7,21.9,74
10104,9.7,No Different than U.S. National Rate,6.9,13.7,152,16,No Different than U.S. National Rate,12.7,20,172
10105,13.8,No Different than U.S. National Rate,9.8,18.7,93,17.9,No Different than U.S. National Rate,14,22.6,104
10106,15.5,No Different than U.S. National Rate,11.6,20.6,135,20.1,No Different than U.S. National Rate,16.1,24.5,145
10107,14.2,No Different than U.S. National Rate,9.6,20.5,46,18,No Different than U.S. National Rate,14,22.6,43
10108,Not Available,Number of Cases Too Small,Not Available,Not Available,10,Not Available,Number of Cases Too Small,Not Available,Not Available,12
10109,Not Available,Number of Cases Too Small,Not Available,Not Available,8,Not Available,Number of Cases Too Small,Not Available,Not Available,7
10110,11.5,No Different than U.S. National Rate,7.8,17.1,29,17.8,No Different than U.S. National Rate,14,22.4,30
10111,12,No Different than U.S. National Rate,8.2,17,35,19.2,No Different than U.S. National Rate,14.9,24.4,37
10112,Not Available,Number of Cases Too Small,Not Available,Not Available,5,Not Available,Number of Cases Too Small,Not Available,Not Available,3
10113,11.6,No Different than U.S. National Rate,8.1,16.2,28,18.5,No Different than U.S. National Rate,14.2,23.6,25
10114,11.3,No Different than U.S. National Rate,8,16.1,74,16.7,No Different than U.S. National Rate,13.1,21.1,75
10115,12.2,No Different than U.S. National Rate,8.5,17.2,61,19.1,No Different than U.S. National Rate,14.8,23.8,68
10116,11.9,No Different than U.S. National Rate,7.9,16.7,31,18.2,No Different than U.S. National Rate,14.1,23.1,32
10117,11.1,No Different than U.S. National Rate,8.3,14.8,180,16.9,No Different than U.S. National Rate,13.8,20.7,190
10118,11.7,No Different than U.S. National Rate,9.5,14.2,422,19.1,No Different than U.S. National Rate,16.3,22.3,454
10119,13.2,No Different than U.S. National Rate,10.2,16.8,225,18.4,No Different than U.S. National Rate,15.1,22.2,234
10120,10.9,No Different than U.S. National Rate,8.2,14.2,201,17.9,No Different than U.S. National Rate,14.7,21.7,222
10121,15,Worse than U.S. National Rate,12.4,18.1,402,18.5,No Different than U.S. National Rate,15.7,21.6,422
10122,11.7,No Different than U.S. National Rate,9.4,14.3,418,17.9,No Different than U.S. National Rate,15.2,20.8,461
10123,13.8,No Different than U.S. National Rate,11.8,16,833,20.5,No Different than U.S. National Rate,18.2,22.9,896
10124,10,No Different than U.S. National Rate,7.5,13.3,189,17.5,No Different than U.S. National Rate,14.5,21.2,204
10125,15.1,No Different than U.S. National Rate,11.4,19.8,220,21.5,No Different than U.S. National Rate,17.8,25.4,235
10126,Not Available,Number of Cases Too Small,Not Available,Not Available,23,18.5,No Different than U.S. National Rate,14.1,23.7,31
10127,10.2,No Different than U.S. National Rate,7.8,13.2,242,15.8,No Different than U.S. National Rate,13.1,19.3,247
10128,12.3,No Different than U.S. National Rate,9.2,16.3,154,18.1,No Different than U.S. National Rate,14.6,22,172
10129,15.3,No Different than U.S. National Rate,10.8,20.9,81,18.4,No Different than U.S. National Rate,14.7,22.9,88
10130,15,No Different than U.S. National Rate,10.8,20.4,73,17.3,No Different than U.S. National Rate,13.8,21.5,80
10131,10.5,No Different than U.S. National Rate,8.4,13.2,364,21,No Different than U.S. National Rate,18,24.3,406
10132,12.5,No Different than U.S. National Rate,8.5,17.7,51,17.6,No Different than U.S. National Rate,13.9,22.5,53
10133,11.6,No Different than U.S. National Rate,9.3,14.2,368,19.7,No Different than U.S. National Rate,16.7,22.8,392
10134,11.1,No Different than U.S. National Rate,8.2,14.7,222,18.5,No Different than U.S. National Rate,15.4,22.1,221
10135,12.2,No Different than U.S. National Rate,9.9,15,416,17.2,No Different than U.S. National Rate,14.6,20,416
10136,11.4,No Different than U.S. National Rate,9.5,13.7,589,17,No Different than U.S. National Rate,14.7,19.7,626
10137,13.5,No Different than U.S. National Rate,10.1,18,158,19.3,No Different than U.S. National Rate,15.4,23.5,166
10138,10.1,No Different than U.S. National Rate,7.7,13,251,19,No Different than U.S. National Rate,15.9,22.6,276
10139,10.1,No Different than U.S. National Rate,7.8,13,321,19.8,No Different than U.S. National Rate,16.5,23.4,330
10140,11.7,No Different than U.S. National Rate,8.5,15.8,126,20.6,No Different than U.S. National Rate,16.6,25.1,135
10141,11.9,No Different than U.S. National Rate,8.8,16,157,16.9,No Different than U.S. National Rate,13.5,21.1,173
10142,17.1,Worse than U.S. National Rate,13.3,21.7,225,19.1,No Different than U.S. National Rate,15.5,23.4,222
10143,12.4,No Different than U.S. National Rate,9,16.9,151,16.8,No Different than U.S. National Rate,13.4,21.1,160
10144,10.6,No Different than U.S. National Rate,8,13.9,220,16,No Different than U.S. National Rate,12.9,19.9,227
10145,Not Available,Number of Cases Too Small,Not Available,Not Available,7,Not Available,Number of Cases Too Small,Not Available,Not Available,9
10146,Not Available,Number of Cases Too Small,Not Available,Not Available,4,Not Available,Number of Cases Too Small,Not Available,Not Available,4
10147,12.6,No Different than U.S. National Rate,8.7,18,41,18.2,No Different than U.S. National Rate,13.9,23.3,40
10148,13.9,No Different than U.S. National Rate,10,19.1,120,19.1,No Different than U.S. National Rate,15.4,23.2,132
10149,10.1,No Different than U.S. National Rate,7.4,13.6,147,18.2,No Different than U.S. National Rate,14.7,22.3,185
10150,12.3,No Different than U.S. National Rate,10.1,14.8,447,17.3,No Different than U.S. National Rate,14.7,20.2,478
10151,10.4,No Different than U.S. National Rate,8.4,12.7,488,19.4,No Different than U.S. National Rate,16.9,22.2,544
10152,9.4,Better than U.S. National Rate,7.6,11.9,566,18.6,No Different than U.S. National Rate,16.1,21.4,593
10153,9.1,Better than U.S. National Rate,7,11.7,339,20.8,No Different than U.S. National Rate,17.6,23.8,379
10154,10,No Different than U.S. National Rate,7.5,13.6,191,18.6,No Different than U.S. National Rate,15.4,22.7,199
10155,12.2,No Different than U.S. National Rate,10.2,14.6,599,19.8,No Different than U.S. National Rate,17.2,22.4,647
10156,12.4,No Different than U.S. National Rate,9.2,16.2,169,19.2,No Different than U.S. National Rate,15.9,23.3,196
10157,11.5,No Different than U.S. National Rate,8,15.9,83,16.8,No Different than U.S. National Rate,13.3,21,85
10158,12.9,No Different than U.S. National Rate,9.7,17,177,20.1,No Different than U.S. National Rate,16.5,24.1,179
10159,7.5,Better than U.S. National Rate,5.8,9.6,456,19.5,No Different than U.S. National Rate,16.8,22.5,550
10160,Not Available,Number of Cases Too Small,Not Available,Not Available,19,19.5,No Different than U.S. National Rate,15.1,25,26
10161,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
10162,Not Available,Number of Cases Too Small,Not Available,Not Available,1,Not Available,Number of Cases Too Small,Not Available,Not Available,1
10163,12.2,No Different than U.S. National Rate,8.8,16.6,115,18,No Different than U.S. National Rate,14.3,22.1,138
10164,10.9,No Different than U.S. National Rate,7.5,15.6,57,18.7,No Different than U.S. National Rate,14.8,23.3,67
10165,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
10166,10.5,No Different than U.S. National Rate,7,15.3,63,16.4,No Different than U.S. National Rate,12.7,21.3,75
10167,9.1,No Different than U.S. National Rate,6.6,12.3,184,19.3,No Different than U.S. National Rate,15.7,23.7,191
10168,10.1,No Different than U.S. National Rate,7.5,13.5,221,19,No Different than U.S. National Rate,15.9,22.7,228
10169,11.6,No Different than U.S. National Rate,8.3,16.1,114,20.1,No Different than U.S. National Rate,16.1,24.5,112
10170,14.9,No Different than U.S. National Rate,11.3,19.6,198,18.1,No Different than U.S. National Rate,14.7,22.1,215
10171,10,No Different than U.S. National Rate,7.3,13.1,274,16.8,No Different than U.S. National Rate,14.2,20.1,301
10172,9.6,No Different than U.S. National Rate,6.6,14,108,18.2,No Different than U.S. National Rate,14.5,22.9,120
10173,9.4,No Different than U.S. National Rate,7,12.5,266,19.8,No Different than U.S. National Rate,16.8,23.2,310
10174,10.5,No Different than U.S. National Rate,7.5,14.1,155,17.4,No Different than U.S. National Rate,14,21.3,171
10175,11.2,No Different than U.S. National Rate,8.1,15.3,107,18,No Different than U.S. National Rate,14.4,22.4,137
10176,11.1,No Different than U.S. National Rate,7.3,16.2,55,19.2,No Different than U.S. National Rate,15.2,24.1,65
10177,Not Available,Number of Cases Too Small,Not Available,Not Available,10,Not Available,Number of Cases Too Small,Not Available,Not Available,14
10178,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
10179,12.9,No Different than U.S. National Rate,9.7,16.9,170,19.1,No Different than U.S. National Rate,15.5,23.3,184
10180,9.9,No Different than U.S. National Rate,6.8,13.9,76,18.3,No Different than U.S. National Rate,14.4,22.9,78
10181,10.2,No Different than U.S. National Rate,7,15.1,49,17.3,No Different than U.S. National Rate,13.4,22,48
10182,11.6,No Different than U.S. National Rate,8.2,16.3,60,17.1,No Different than U.S. National Rate,13.4,21.5,60
10183,10.2,No Different than U.S. National Rate,7.1,14.4,26,18.5,No Different than U.S. National Rate,14.6,23.2,27
10184,Not Available,Number of Cases Too Small,Not Available,Not Available,16,Not Available,Number of Cases Too Small,Not Available,Not Available,19
10185,11,No Different than U.S. National Rate,7.5,15.8,27,18.1,No Different than U.S. National Rate,14.2,23.1,52
10186,10.3,No Different than U.S. National Rate,7,14.8,58,18.2,No Different than U.S. National Rate,14.2,23,68
10187,11.2,No Different than U.S. National Rate,8.3,14.6,84,16.6,No Different than U.S. National Rate,13.1,21,94
10188,12,No Different than U.S. National Rate,8,17.4,26,17.5,No Different than U.S. National Rate,13.5,22.7,25
10189,Not Available,Number of Cases Too Small,Not Available,Not Available,16,Not Available,Number of Cases Too Small,Not Available,Not Available,18
10190,8.7,No Different than U.S. National Rate,6.2,12.1,121,19.4,No Different than U.S. National Rate,15.7,23.6,130
10191,10.9,No Different than U.S. National Rate,7.2,16.5,30,18,No Different than U.S. National Rate,13.8,22.7,32
10192,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
10193,13.8,No Different than U.S. National Rate,10.4,17.9,157,18.9,No Different than U.S. National Rate,15.3,23.2,149
10194,13.8,No Different than U.S. National Rate,10.4,17.9,202,19.1,No Different than U.S. National Rate,15.6,23.3,206
10195,13.4,No Different than U.S. National Rate,10.9,16.4,432,16.3,No Different than U.S. National Rate,13.7,19.4,457
10196,12,No Different than U.S. National Rate,9.7,14.8,419,17.7,No Different than U.S. National Rate,15,20.8,438
10197,13.4,No Different than U.S. National Rate,10.7,16.4,319,18.3,No Different than U.S. National Rate,15.4,21.8,333
10198,12.1,No Different than U.S. National Rate,8.6,16.6,101,23,No Different than U.S. National Rate,18.5,28.2,104
10199,12.5,No Different than U.S. National Rate,10.5,14.8,737,23.6,Worse than U.S. National Rate,20.5,26.4,771
10200,13.3,No Different than U.S. National Rate,10,17.5,139,16.4,No Different than U.S. National Rate,13,20.4,144
10201,12.6,No Different than U.S. National Rate,10.1,15.8,305,19.7,No Different than U.S. National Rate,17,22.7,365
10202,11.8,No Different than U.S. National Rate,9.8,14.2,702,18.6,No Different than U.S. National Rate,16.2,21.3,789
10203,12.8,No Different than U.S. National Rate,9.5,17.2,143,21.3,No Different than U.S. National Rate,17.3,25.6,165
10204,15.3,No Different than U.S. National Rate,11.6,19.8,108,19.8,No Different than U.S. National Rate,15.7,24.7,103
10205,13.3,No Different than U.S. National Rate,11.1,15.7,599,16.9,No Different than U.S. National Rate,14.6,19.7,642
10206,11.5,No Different than U.S. National Rate,9.2,14.1,465,19,No Different than U.S. National Rate,16.3,22.2,464
10207,11.3,No Different than U.S. National Rate,9.6,13.3,818,16.4,No Different than U.S. National Rate,14.4,18.8,877
10208,16.1,Worse than U.S. National Rate,13.8,18.7,726,22,Worse than U.S. National Rate,19.2,24.9,774
10209,14.9,Worse than U.S. National Rate,12.1,18.3,441,18.5,No Different than U.S. National Rate,15.6,21.9,438
10210,10.2,No Different than U.S. National Rate,8.1,12.6,445,19.7,No Different than U.S. National Rate,16.9,22.7,465
10211,11.7,No Different than U.S. National Rate,9.3,14.7,373,18.6,No Different than U.S. National Rate,15.6,22.1,390
10212,15.4,Worse than U.S. National Rate,12.3,19.1,360,18.3,No Different than U.S. National Rate,15.2,21.7,366
10213,12.6,No Different than U.S. National Rate,9.5,16.3,171,21.1,No Different than U.S. National Rate,17.4,25.2,174
10214,11.4,No Different than U.S. National Rate,8.6,14.9,237,19.4,No Different than U.S. National Rate,16.1,23.2,267
10215,12.4,No Different than U.S. National Rate,8.9,16.9,115,18.6,No Different than U.S. National Rate,14.7,23.1,112
10216,13.5,No Different than U.S. National Rate,10.5,17.2,215,20.2,No Different than U.S. National Rate,16.8,24.2,233
10217,12.2,No Different than U.S. National Rate,10.2,14.8,579,17,No Different than U.S. National Rate,14.7,19.6,630
10218,12.8,No Different than U.S. National Rate,10.4,15.6,487,14.6,Better than U.S. National Rate,12.3,17.5,526
10219,12.8,No Different than U.S. National Rate,9.4,17.2,113,17.1,No Different than U.S. National Rate,13.5,21.4,117
10220,15.2,No Different than U.S. National Rate,11.1,20.1,89,21,No Different than U.S. National Rate,17,25.6,92
10221,11,No Different than U.S. National Rate,8.5,14.2,255,18.5,No Different than U.S. National Rate,15.4,22,300
10222,14.2,No Different than U.S. National Rate,10.8,18.3,96,17,No Different than U.S. National Rate,13.6,21.4,89
10223,13.4,No Different than U.S. National Rate,10.4,17.1,213,19,No Different than U.S. National Rate,15.8,22.9,229
10224,11.5,No Different than U.S. National Rate,9.2,14.4,308,20.9,No Different than U.S. National Rate,17.6,24.5,347
10225,13.3,No Different than U.S. National Rate,10.5,16.9,274,19,No Different than U.S. National Rate,15.9,22.6,274
10226,12.1,No Different than U.S. National Rate,9.1,15.7,193,18.5,No Different than U.S. National Rate,15.3,22.3,202
10227,12.2,No Different than U.S. National Rate,9.6,15.1,300,19.3,No Different than U.S. National Rate,16.1,22.8,319
10228,13.3,No Different than U.S. National Rate,9.7,18,123,17.8,No Different than U.S. National Rate,14.3,22,122
10229,14.6,No Different than U.S. National Rate,11.4,18.2,253,18,No Different than U.S. National Rate,14.8,21.7,257
10230,15.1,Worse than U.S. National Rate,12.3,18.2,238,23.5,Worse than U.S. National Rate,19.5,27.5,251
10231,16.9,Worse than U.S. National Rate,13.5,21,335,19.1,No Different than U.S. National Rate,16,22.5,371
10232,12.1,No Different than U.S. National Rate,10.1,14.4,672,23.3,Worse than U.S. National Rate,20.4,26.2,736
10233,11,No Different than U.S. National Rate,9.3,13.1,712,18.9,No Different than U.S. National Rate,16.5,21.5,747
10234,11.3,No Different than U.S. National Rate,9.2,13.8,413,17,No Different than U.S. National Rate,14.3,20.3,420
10235,12.1,No Different than U.S. National Rate,10.1,14.4,576,20.9,No Different than U.S. National Rate,18.1,23.7,620
10236,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
10237,10.4,No Different than U.S. National Rate,7.2,15,84,19.8,No Different than U.S. National Rate,15.9,24.2,102
10238,11.1,No Different than U.S. National Rate,8.1,14.9,161,17,No Different than U.S. National Rate,13.5,21.2,160
10239,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
10240,Not Available,Number of Cases Too Small,Not Available,Not Available,1,Not Available,Number of Cases Too Small,Not Available,Not Available,1
10241,11.6,No Different than U.S. National Rate,8.2,16.4,37,17.6,No Different than U.S. National Rate,13.7,22.4,39
10242,17.9,Worse than U.S. National Rate,13.3,23.9,77,18.4,No Different than U.S. National Rate,14.4,22.9,73
10243,13,No Different than U.S. National Rate,9.2,18.1,58,17.7,No Different than U.S. National Rate,13.6,22.7,56
10244,13.7,No Different than U.S. National Rate,9.7,19,40,17.8,No Different than U.S. National Rate,13.7,23,44
